IBOV - Carteira do Dia 25/06/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.482.105.837;3,004;3,004;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.601;1,365;1,365;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;332.825.777;0,131;1,945;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;995.335.937;0,590;1,945;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,224;1,945;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;835.221.269;0,859;3,106;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.134.986.472;1,745;3,106;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;331.799.687;0,185;3,106;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261.036.182;0,083;3,106;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON  EJ  NM;142.348.116;0,234;3,106;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.394.245.879;2,467;2,467;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.349.217.892;0,741;1,034;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;533.990.587;0,238;1,034;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;379.400.826;0,055;1,034;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;849.346.756;0,649;0,649;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194.217.908;0,168;0,168;
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON      NM;62.305.891;0,155;1,172;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,149;1,172;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;951.452.770;0,602;1,172;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;351.757.412;0,212;1,172;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;314.729.428;0,054;1,172;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;166.362.038;0,076;0,209;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;125.912.025;0,133;0,209;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;265.784.616;0,257;0,447;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;91.514.307;0,060;0,447;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;375.130.280;0,130;0,447;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON  ATZ NM;525.582.771;0,052;0,052;
