IBOV - Carteira do Dia 25/06/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Diversos;COGN3;COGNA ON;ON      NM;1.814.903.540;0,160;2,300;
Diversos;RENT3;LOCALIZA;ON      NM;854.504.168;1,787;2,300;
Diversos;VAMO3;VAMOS;ON      NM;498.860.020;0,194;2,300;
Diversos;YDUQ3;YDUQS PART;ON      NM;289.347.914;0,159;2,300;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;532.616.595;0,563;1,089;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,219;1,089;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;268.505.432;0,307;1,089;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN  EJ  N1;5.560.910.983;2,724;2,724;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.489.259.656;0,829;17,730;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.135.772.281;3,168;17,730;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON  EJ  NM;2.842.247.534;3,779;17,730;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,876;17,730;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.740.126.023;7,602;17,730;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;342.918.449;0,476;17,730;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,120;1,250;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,130;1,250;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON  EDJ NM;5.602.790.110;2,920;3,225;
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON      NM;1.095.462.329;0,305;3,225;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;302.768.240;0,100;2,526;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;777.422.123;0,792;2,526;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;664.114.223;1,634;2,526;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.992.819;0,225;13,880;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,285;13,880;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.427.123.466;13,370;13,880;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.877.867;0,237;0,237;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.246.339.197;1,103;2,019;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;660.411.219;0,341;2,019;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;600.865.451;0,379;2,019;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.391;0,196;2,019;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;238.441.689;0,306;18,084;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.168.966.848;0,765;18,084;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.150.495.108;4,163;18,084;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.445.852;8,392;18,084;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275.166.463;0,254;18,084;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;804.019.521;1,678;18,084;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.210.920.604;0,173;18,084;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.087.228.062;1,190;18,084;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.613.709;1,163;18,084;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON  EJ  NM;409.490.388;0,594;2,256;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.280.079.284;1,662;2,256;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;240.822.651;0,171;2,530;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.394.332.306;0,848;2,530;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.144.776.793;1,511;2,530;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;428.737.358;0,087;0,857;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;514.122.351;0,770;0,857;
Telecomunicação;VIVT3;TELEF BRASIL;ON;408.343.528;0,915;1,548;
Telecomunicação;TIMS3;TIM;ON  EJ  NM;807.896.814;0,633;1,548;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.799;1,314;1,314;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN  EJ  N1;1.868.640.510;0,975;10,813;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.233.590;0,771;10,813;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,304;10,813;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.945.040.784;3,375;10,813;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268.733.136;0,523;10,813;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326.265.871;0,732;10,813;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.579.630.820;0,979;10,813;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,563;10,813;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.155.467.134;1,705;10,813;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,367;10,813;
Utilidade Públ / Energ Elétrica;TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,519;10,813;
Quantidade Teórica Total;;;;95.372.551.512;100,000;100,000
Redutor;;;;16.443.658,79477137
